Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
01-02-2023,14:23,31-01-2023,,,Juros,,EUR,-87.73,EUR,-21573.65,
16-01-2023,08:17,16-01-2023,FLOW TRADERS LTD,BMG3602E1084,"MUDANÇA DE ISIN: Compra 135 Flow Traders Ltd@23,26 EUR (BMG3602E1084)",,EUR,-3140.10,EUR,-21485.92,
16-01-2023,08:17,16-01-2023,FLOW TRADERS NV,NL0011279492,"MUDANÇA DE ISIN: Venda 135 Flow Traders NV@23,26 EUR (NL0011279492)",,EUR,3140.10,EUR,-18345.82,
06-01-2023,16:17,31-12-2022,,,Juros,,EUR,-73.92,EUR,-21485.92,
05-01-2023,07:53,05-01-2023,MEITUAN - NON TRADEABLE,KYG596691041,SPIN OFF: Compra 8 Meituan - Non tradeable@0 EUR (KYG596691041),,EUR,0.00,EUR,-21412.00,
03-01-2023,14:07,31-12-2022,,,Custo de Conectividade DEGIRO 2023 (Euronext Brussels - EBR),,EUR,-2.50,EUR,-21412.00,
03-01-2023,14:07,31-12-2022,,,Custo de Conectividade DEGIRO 2023 (Euronext Amsterdam - EAM),,EUR,-2.50,EUR,-21409.50,
03-01-2023,14:07,31-12-2022,,,Custo de Conectividade DEGIRO 2023 (Boerse Frankfurt - FRA),,EUR,-2.50,EUR,-21407.00,
03-01-2023,14:07,31-12-2022,,,Custo de Conectividade DEGIRO 2023 (Xetra - XET),,EUR,-2.50,EUR,-21404.50,
02-01-2023,03:41,02-01-2023,,,Flatex Interest Income,,EUR,0.00,EUR,-21402.00,
14-12-2022,10:45,14-12-2022,COL P20.00 17MAR23,BEEN07268574,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-0.75,EUR,-21402.00,5b0de6dd-1831-476c-a928-f922caa193f9
14-12-2022,10:45,14-12-2022,COL P20.00 17MAR23,BEEN07268574,"Venda 1 COL P20.00 17MAR23@1,1 EUR (BEEN07268574)",,EUR,110.00,EUR,-21401.25,5b0de6dd-1831-476c-a928-f922caa193f9
08-12-2022,06:53,07-12-2022,COL P35.00 16DEC22,BEEN02796090,DEGIRO Exercise and Assignment Fee,,EUR,-1.00,EUR,-21511.25,
