Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
24-09-2021,17:36,ADR ON ALIBABA GROUP HOLDING,US01609W1027,NSY,XNAS,10,146.6000,USD,-1466.00,USD,-1252.14,EUR,1.1708,-0.53,EUR,-1252.67,EUR,aff6912b-2688-447e-9fb1-9311989c1737
24-09-2021,17:34,EURONAV NV ORDINARY SH,BE0003816338,NSY,"MEMX, XNAS",-760,9.1700,USD,6969.20,USD,5951.38,EUR,1.1710,-3.09,EUR,5948.29,EUR,9bdcf4e1-fbd1-4b19-b406-b9c9e29a500f
24-09-2021,17:25,EUN P6.50 17DEC21,BEEN01556081,LFF,XBRD,6,0.1200,EUR,-72.00,EUR,-72.00,EUR,,-5.10,EUR,-77.10,EUR,deda8a82-e733-4813-a8bf-9a6fff0b8c38
22-09-2021,10:18,EUN P7.00 17DEC21,BEEN01399722,LFF,XBRD,3,0.3000,EUR,-90.00,EUR,-90.00,EUR,,-2.55,EUR,-92.55,EUR,605924c5-535d-4aad-944f-1cc6dba44773
22-09-2021,10:18,EUN P7.00 15OKT21,BEEN02259339,LFF,XBRD,6,0.1000,EUR,-60.00,EUR,-60.00,EUR,,-5.10,EUR,-65.10,EUR,c9f0777b-4614-453a-a2e1-aef6b7000cbd
22-09-2021,10:18,EUN P6.80 15OKT21,BEEN02212031,LFF,XBRD,3,0.0800,EUR,-24.00,EUR,-24.00,EUR,,-2.55,EUR,-26.55,EUR,5d80de6c-e685-45d7-94a4-d716ac27a2d3
10-09-2021,16:07,ISHARES CORE MSCI WORLD UCITS ETF USD (ACC),IE00B4L5Y983,EAM,XAMS,4,73.1300,EUR,-292.52,EUR,-292.52,EUR,,,EUR,-292.52,EUR,3fbb5cb2-a5f6-4a29-b605-af90df059566
03-09-2021,11:40,EUN P6.60 15OKT21,BEEN02360152,LFF,XBRD,-9,0.1100,EUR,99.00,EUR,99.00,EUR,,-7.65,EUR,91.35,EUR,7dbb47d9-3577-4bfa-8bb1-9645b2997cfc
01-09-2021,17:54,ABBVIE INC. COMMON STO,US00287Y1091,NSY,CDED,5,108.4700,USD,-542.35,USD,-457.68,EUR,1.1850,-0.52,EUR,-458.20,EUR,851b0dab-794e-499d-ba92-21432e5d5e56
01-09-2021,15:45,EUN P6.60 15OKT21,BEEN02360152,LFF,XBRD,9,0.1400,EUR,-126.00,EUR,-126.00,EUR,,-7.65,EUR,-133.65,EUR,3b36f726-8075-4855-b4ed-52c68b3e9937
